Field0,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12
ACOMPAÑAMIENTOS,4462.55,9480.11,9939.44,9298.84,10915.8,9773.04,10446.71,11070.59,11069.32,11976.28,12633.78,13533.57
BANDEJAS,138,24,124,269,324,126,108,209,146,112,492,828
CC / ,0,0,0,0,0,0,0,0,0,0,0,0
CHORIPAN,605.91,1311.67,1395.82,1386.54,1245.55,1431.69,1474.88,1398.73,1584.74,1451.06,1538.82,1670.71
COMBOS,12510.7,23837.46,24439.61,23650.17,25836.55,24629.98,26378.35,29294.93,30608.69,32258.05,31740.82,36332.29
DOMICILIO,196,440,514,460,574,532,422,494,424,450,488,526
EMPAREDADOS,319.82,527.53,761.72,597.54,773.64,725.57,792.09,897.83,957.62,777.62,705.33,685.82
EMPLEADOS,0,0,0,0,0,0,0,0,0,0,0,0
MATAGOMA,229.89,667.08,688.29,647.01,668.69,671.2,708.34,739.82,591.42,602.03,591.2,692.73
POLLOS,4904.55,10158.49,10974.51,10019.77,12020.48,10188.73,11402.24,11371.85,11725.82,12840.79,12589,13609.32
POSTRES,118.9,233.24,244.26,247.88,205.43,270.07,425,432.34,399.81,374.73,418.62,369.35
SALSAS,17.75,87.75,26,21,40.75,53,24.77,38.14,43,19.75,25.5,36.5
SODAS,285.24,744.09,725.34,697.19,809.22,693.97,614.56,744.56,748.36,753,689.71,915.54
SUBLAKI,1105.85,2442.73,2236.7,2687.39,2633.33,2742.19,2898.07,3283.17,3098.15,3107.65,3297.09,3520.72